participant.code,round_no,participant.scenario,response,participant.treatment,neighbors,initially_neutral,response_change,response_delta
3un7u84w,2,s9_n,1.0,NO_n,"-1, 0, -1",Non-Neutral,0.0,0.0
3un7u84w,3,s9_n,1.0,NO_n,"1, 1, 1",Non-Neutral,0.0,0.0
3un7u84w,4,s9_n,1.0,NO_n,"-1, 1, 1",Non-Neutral,0.0,0.0
3un7u84w,5,s9_n,1.0,NO_n,"-1, -1, -1",Non-Neutral,0.0,0.0
3un7u84w,6,s9_n,1.0,NO_n,"0, 1, 0",Non-Neutral,0.0,0.0
3un7u84w,7,s9_n,1.0,NO_n,"-1, 1, -1",Non-Neutral,0.0,0.0
3un7u84w,8,s9_n,1.0,NO_n,"0, -1, 1",Non-Neutral,0.0,0.0
3un7u84w,9,s9_n,1.0,NO_n,"0, 0, -1",Non-Neutral,0.0,0.0
3un7u84w,10,s9_n,1.0,NO_n,"0, 0, 0",Non-Neutral,0.0,0.0
3zkr61oj,1,s4_n,-1.0,NO_n,"1, -1, 1",Non-Neutral,0.0,0.0
3zkr61oj,2,s4_n,-1.0,NO_n,"-1, -1, -1",Non-Neutral,0.0,0.0
3zkr61oj,3,s4_n,0.0,NO_n,"0, 0, 0",Non-Neutral,1.0,1.0
3zkr61oj,4,s4_n,-1.0,NO_n,"1, -1, -1",Non-Neutral,-1.0,1.0
3zkr61oj,5,s4_n,0.0,NO_n,"0, 1, 0",Non-Neutral,1.0,1.0
3zkr61oj,6,s4_n,-1.0,NO_n,"-1, -1, 0",Non-Neutral,-1.0,1.0
3zkr61oj,7,s4_n,0.0,NO_n,"0, -1, 0",Non-Neutral,1.0,1.0
3zkr61oj,8,s4_n,0.0,NO_n,"1, -1, 0",Non-Neutral,0.0,0.0
3zkr61oj,9,s4_n,1.0,NO_n,"1, 1, 1",Non-Neutral,1.0,1.0
3zkr61oj,10,s4_n,1.0,NO_n,"1, 1, 0",Non-Neutral,0.0,0.0
3zp8zev5,1,s2_p,1.0,NO_p,"[1, 0, 1]",Neutral,1.0,1.0
3zp8zev5,2,s2_p,1.0,NO_p,"[1, -1, 1]",Neutral,0.0,0.0
3zp8zev5,3,s2_p,1.0,NO_p,"[0, 0, 0]",Neutral,0.0,0.0
3zp8zev5,4,s2_p,1.0,NO_p,"[-1, -1, 1]",Neutral,0.0,0.0
3zp8zev5,5,s2_p,1.0,NO_p,"[-1, 0, 0]",Neutral,0.0,0.0
3zp8zev5,6,s2_p,1.0,NO_p,"[1, -1, 0]",Neutral,0.0,0.0
3zp8zev5,7,s2_p,1.0,NO_p,"[1, 1, 1]",Neutral,0.0,0.0
3zp8zev5,8,s2_p,1.0,NO_p,"[0, 0, 1]",Neutral,0.0,0.0
3zp8zev5,9,s2_p,1.0,NO_p,"[-1, -1, -1]",Neutral,0.0,0.0
3zp8zev5,10,s2_p,1.0,NO_p,"[-1, -1, 0]",Neutral,0.0,0.0
